name,country,state,dealer_code,phone,street,city,zip,lat,lng,url
Schomp BMW of Highlands Ranch,U.S,CO,5042,(303) 471-3772,1190 Plum Valley Ln,Highlands Ranch,80129,39.56045765745208, -105.0017875518084,https://schompbmw.com/
BMW of Denver Downtown,U.S,CO,39314,(303) 759-4646,1040 S Colorado Blvd,Denver,80246,39.69775905761017, -104.93958868661126,https://www.bmwofdenverdowntown.com/
Gebhardt BMW,U.S,CO,5080,(720) 974-1000,4740 Valmont Rd,Boulder,80301,40.02858614737195, -105.242300790306,https://www.gebhardtbmw.com/
BMW of Loveland,U.S,CO,50070,(970) 292-5200,4150 Byrd Dr,Loveland,80538,40.43524829130193, -104.99460108842875,https://www.bmwofloveland.com/
BMW of North Haven,U.S,CT,59127,(203) 239-7272,610 Washington Ave,North Haven,06473,41.420821676173034, -72.83884441535714,https://www.bmwofnorthhaven.com/
BMW of New London,U.S,CT,36582,(860) 447-3141,543 Colman St,New London,06320,41.36453166334262, -72.11564837674518,https://www.bmwofnewlondon.com/
New Country BMW,U.S,CT,20173,(860) 522-6134,1 Weston Park Rd,Hartford,06120,41.781996446638495, -72.66737454830272,https://www.newcountrybmw.com/
Continental BMW of Darien,U.S,CT,23200,(203) 656-1804,128 Middlesex Rd,Darien,06820,41.07293565878297, -73.47677476005713,https://www.bmwdarien.com/
BMW of Waterbury,U.S,CT,43039,(860) 274-7515,133 Schraffts Dr,Waterbury,06705,41.54165622506271, -72.98927394282985,https://www.bmwofwaterbury.com/
BMW of Ridgefield,U.S,CT,51085,(203) 438-0471,746 Danbury Rd,Ridgefield,06877,41.33099297304948, -73.4719941848127,https://www.bmwofridgefield.com/
BMW of Bridgeport,U.S,CT,24618,(203) 334-1672,43 North Ave,Bridgeport,06606,41.2019700726406, -73.18882865837953,https://www.bmwofbridgeport.com/
BMW of Greenwich,U.S,CT,40808,(203) 413-1900,355 West Putnam Ave,Greenwich,06830,41.02337584569176, -73.6386117633805,https://www.bmwofgreenwich.com/
Union Park BMW,U.S,DE,81000,(302) 658-7245,1900 Pennsylvania Ave,Wilmington,19806,39.75440850477937, -75.57051168350685,https://www.unionparkbmw.com/
I. G. Burton BMW,U.S,DE,36493,(302) 424-3042,509 Bay Rd,Milford,19963,38.946763598780684, -75.42695872911483,https://www.igburtonbmw.com/
Tom Bush BMW Orange Park,U.S,FL,46778,(904) 777-2500,6914 Blanding Blvd,Jacksonville,32244,30.224893870708712, -81.73854170097644,https://www.tombushbmwop.com/
Bert Smith International,U.S,FL,93777,(727) 527-1111,3800 34th St N,St. Petersburg,33714,27.807301882934286, -82.68017171247294,https://www.bertsmithbmw.com/
Ferman BMW,U.S,FL,49134,(727) 785-3900,31400 US Hwy 19 N,Palm Harbor,34684,28.05754030273675, -82.74007954867109,https://www.fermanbmw.com/
BMW of Tampa,U.S,FL,50929,(813) 936-5500,10902 N Florida Ave,Tampa,33612,28.05441133561332, -82.45651718175809,https://www.bmwoftampa.com/
Fields BMW Lakeland,U.S,FL,10736,(863) 816-1234,4285 Lakeland Hills Blvd,Lakeland,33805,28.09690120089721, -81.95448080263341,https://www.fieldsbmwlakeland.com/
BMW of Ocala,U.S,FL,47727,(352) 861-0234,5145 SW College Rd,Ocala,34474,29.131255370482837, -82.2057677007389,https://www.bmwinnocala.com/
Melbourne BMW,U.S,FL,48600,(321) 727-3788,1432 S Harbor City Blvd,Melbourne,32901,28.0861909077308, -80.60721409099254,https://www.bmwinnmelbourne.com/
Fields BMW South Orlando,U.S,FL,96255,(407) 956-6300,9750 S Orange Blossom Trl,Orlando,32837,28.414988973823956, -81.40487532220088,https://www.fieldsbmworlando.com/
BMW of Tallahassee/Capital BMW,U.S,FL,20412,(866) 203-6076,3701 W Tennessee St,Tallahassee,32304,30.468852155799144, -84.35975783375356,https://www.capital-bmw.com/
Fields BMW of Daytona,U.S,FL,29867,(386) 274-1200,1050 N Tomoka Farms Rd,Daytona Beach,32124,29.20307540891016, -81.09804983010676,https://www.fieldsbmwofdaytona.com/
BMW of Gainesville,U.S,FL,34748,(352) 376-4551,2853 N Main St,Gainesville,32609,29.67851764595669, -82.31821339886417,https://www.bmwofgainesville.com/
BMW of Wesley Chapel,U.S,FL,36637,(813) 907-3600,26645 State Road 56,Wesley Chapel,33544,28.18876547217286, -82.3750547737937,https://www.bmwfwesleychapel.com/
BMW of South Miami/South Motors BMW,U.S,FL,96603,(305) 256-2200,16150 S Dixie Hwy,Miami,33157,25.61958345806584, -80.34494107204488,https://www.bmwofsouthmiami.com/
BMW of Sarasota,U.S,FL,32147,(941) 923-2700,5151 Clark Rd,Sarasota,34233,27.270412031099145, -82.46695870875544,https://www.bmwofsarasota.com/
Tom Bush BMW Jacksonville,U.S,FL,46778,(904) 725-0911,9875 Atlantic Blvd,Jacksonville,32225,30.323489750938048, -81.5429087178814,https://www.tombushbmw.com/
Braman BMW Miami,U.S,FL,20626,(305) 571-1200,2060 Biscayne Blvd,Miami,33137,25.796799796777353, -80.18946343318397,https://www.bramanmiami.com/
Braman BMW West Palm Beach,U.S,FL,33409,(561) 609-0120,2901 Okeechobee Blvd, West Palm Beach,33137,25.796799796777353, -80.18946343318397,https://www.bramanbmwwpb.com/
Lauderdale BMW of Pembroke Pines,U.S,FL,75784,(954) 620-5050,14800 Sheridan St,Pembroke Pines,33331,26.028597127833883, -80.34570349160987,https://www.bmwofpembrokepines.com/
BMW of Fort Lauderdale,U.S,FL,75784,(954) 527-3800,1441 S Federal Hwy,Fort Lauderdale,33316,26.103355136544533, -80.13726531990771,https://www.bmwoffortlauderdale.com/
BMW of Coconut Creek,U.S,FL,46697,(877) 340-5841,4401 W Sample Rd,Coconut Creek,33073,26.275639602908495, -80.18430763948169,https://www.bmwofcoconutcreek.com/
Germain BMW of Naples,U.S,FL,xxxx, (239) 643-2220,11286 Tamiami Trl N, Naples,34110,26.276761970645197, -81.80103763614662,https://www.germainbmw.com/
Germain BMW South,U.S,FL,xxxx, (239) 389-7009,3707 Davis Blvd, Naples,34104,26.13922965302259, -81.76294599042397,https://www.germainbmwsouth.com/
BMW of Fort Myers,U.S,FL,22081,(239) 433-8378,15421 S Tamiami Trail,Fort Myers,33908,26.520006075797507, -81.86708290454801,https://www.bmwoffortmyers.com/
Sandy Sansing BMW,U.S,FL,10698,(850) 477-1855,186 W Airport Blvd,Pensacola,32505,30.473706195622395, -87.2518583485616,https://www.sandysansingbmw.com/
Braman Motorcars of Jupiter,U.S,FL,46891,(561) 688-7000,1555 W Indiantown Rd,Jupiter,33458,26.934824701720025, -80.12219976644059,https://www.bramanbmw.com/
BMW of Fort Walton Beach,U.S,FL,23805,(850) 863-2161,329 Miracle Strip Pkwy SW,Fort Walton Beach,32548,30.454081036848372, -86.63903085835284,https://www.bmwfwb.com/
Coggin BMW Treasure Coast,U.S,FL,21553,(772) 429-8300,4429 S US Hwy 1,Fort Pierce,34982,27.382385870494044, -80.32584796695772,https://www.cogginbmw.com/
BMW of Delray Beach,U.S,FL,46586,(561) 491-2329,2900 S Federal Hwy,Delray Beach,33483,26.440904748783073, -80.0861717376242,https://www.bmwofdelraybeach.com/
BMW of Albany,U.S,GA,26726,(229) 883-2040,801 E Oglethorpe Blvd,Albany,31705,31.574270842038146, -84.13152690671866,https://www.bmwofalbany.com/
Taylor BMW,U.S,GA,36328,(866) 463-5727,4180 Washington Rd,Evans,30809,33.51885341152293, -82.11753446445078,https://www.taylorbmw.com/
Critz BMW,U.S,GA,25000,(912) 354-7000,7000 Abercorn St,Savannah,31406,32.013855598441815, -81.114598733148,https://www.critzbmw.com/
Athens BMW,U.S,GA,26540,(706) 549-5340,3040 Atlanta Hwy,Athens,30606,33.94405748154523, -83.44184056612882,https://www.athensbmw.com/
BMW of Gwinnett Place,U.S,GA,20648,(770) 476-8800,3264 Commerce Ave NW,Duluth,30096,33.95922314305975, -84.1192190907267,https://www.bmwofgwinnettplace.com/
United BMW,U.S,GA,45051,(866) 497-5221,11458 Alpharetta Hwy,Roswell,30076,34.06720173694581, -84.31716094892823,https://www.unitedbmw.com/
Nalley BMW of Decatur,U.S,GA,26715,(404) 292-1400,1606 Church St,Decatur,30033,33.794213511420956, -84.283895226194,https://www.nalleybmw.com/
BMW of Macon,U.S,GA,22918,(478) 757-7000,4781 Riverside Dr,Macon,31210,32.92381138235788, -83.70892847596846,https://www.bmwofmacon.com/
Global Imports BMW,U.S,GA,21850,(800) 263-0137,500 Interstate North Pkwy SE,Atlanta,30339,33.89840035169758, -84.45067996189377,https://www.atlantabmw.com/
BMW of Columbus,U.S,GA,26701,(706) 596-2888,6549 Whittlesey Blvd,Columbus,31909,32.55032441399023, -84.9356690140773,https://www.bmwofcolumbus.com/
BMW of South Atlanta,U.S,GA,30955,(770) 969-0755,4171 Jonesboro Rd,Union City,30291,33.567889305063865, -84.52163566244508,https://www.bmwofsouthatlanta.com/
BMW of Honolulu,U.S,HI,76731,(808) 597-1225,777 Kapiolani Blvd,Honolulu,96813,21.300217607500514, -157.85336681691027,https://www.bmwhawaii.com/
BMW of Hawaii (KONA),U.S,HI,XXXXX,(808) 930-3400,74-5533 Loloku St,Kailua-Kona,96740,19.644299804888345, -156.00253402991854,https://www.bmwbigisland.com/
BMW of Maui,U.S,HI,76731,(808) 877-4269,151 Alaʻihi St,Kahului,96732,20.87853309235552, -156.44935888940375,https://www.bmwofmaui.com/
BMW of Des Moines,U.S,IA,29672,(515) 989-5681,9631 Hickman Rd,Urbandale,50322,41.61607511245901, -93.7524840662513,https://www.bmwdesmoines.com/
Kimberly BMW of Davenport,U.S,IA,26865,(563) 391-8300,625 W Kimberly Rd,Davenport,52806,41.55977999952799, -90.58152178846709,https://www.bmwofdavenport.com/
Dubuque BMW,U.S,IA,46387,(563) 583-7345,600 Century Dr,Dubuque,52002,42.492815591535326,-90.72569381724804,https://www.dubuquebmw.com/
Junge BMW North Liberty,U.S,IA,46872,(319) 626-9500,525 Jupiter Dr,North Liberty,52317,41.75112814244985, -91.639090888991,https://www.bmwofnorthliberty.com/
BMW of Idaho Falls,U.S,ID,21538,(208) 529-4269,2200 N Holmes Ave,Idaho Falls,83401,43.46964152517578, -112.07376594047236,https://www.bmwofidahofalls.com/
Peterson BMW of Boise,U.S,ID,11010,(888) 295-8415,9109 W Fairview Ave,Boise,83704,43.61674475525658, -116.2946731730013,https://www.petersonbmw.com/
Newbold BMW,U.S,IL,36688,(618) 628-7300,1283 Central Park Dr,O'Fallon,62269,38.5848179704579, -89.94074416165044,https://www.newboldbmw.com/
Bill Jacobs BMW,U.S,IL,26792,(630) 357-1200,2495 Aurora Ave,Naperville,60540,41.7640895358181, -88.19553251861873,https://www.billjacobsbmw.com/
Perillo BMW Inc.,U.S,IL,46786,(312) 981-0000,1035 N Clark St,Chicago,60610,41.90182199342191, -87.63126307628308,https://www.perillobmw.com/
BMW of Elmhurst/Elmhurst BMW,U.S,IL,85200,(630) 833-7945,466 W Lake St,Elmhurst,60126,41.919093402060525, -87.95637688792638,https://www.elmhurstbmw.com/
Fields BMW Northfield,U.S,IL,96628,(847) 441-5300,700 Frontage Rd,Northfield,60093,42.110570592541116, -87.77540070325922,https://www.fieldsbmwnorthfield.com/
Patrick BMW,U.S,IL,86716,(847) 843-4000,700 E Golf Rd,Schaumburg,60173,42.050877438565756, -88.06177026518108,https://www.patrickbmw.com/
Sam Leman BMW of Peoria,U.S,IL,23968,(309) 692-4840,1720 W Pioneer Pkwy,Peoria,61615,40.7829703656685, -89.61959241681758,https://www.bmwofpeoria.com/
Laurel BMW of Westmont,U.S,IL,24987,(630) 654-5400,430 E Ogden Ave,Westmont,60559,41.811279995190326, -87.96387377074028,https://www.laurelbmw.com/
BMW of Orland Park,U.S,IL,39797,(708) 460-4545,11030 W 159th St,Orland Park,60467,41.601815804220664, -87.88860368979114,https://www.bmwoforlandpark.com/
Karl Knauz BMW,U.S,IL,52800,(847) 604-5000,407 Skokie Hwy,Lake Bluff,60044,42.2767794010566, -87.86864429705216,https://www.knauzbmw.com/
BMW of Crystal Lake,U.S,IL,46518,(815) 455-4330,5213 Northwest Hwy,Crystal Lake,60014,42.25155501805913, -88.28722348606077,https://www.bmwofcrystallake.com/
Serra BMW Champaign/BMW of Champaign,U.S,IL,39450,(217) 356-0303,100 Burwash Ave,Savoy,61874,40.0747675962096, -88.24922090520747,https://www.serrabmwchampaign.com/
Isringhausen Imports,U.S,IL,53781,(217) 528-2042,229 E Jefferson St,Springfield,62701,39.80336553462403, -89.65210127268655,https://www.isringhausen.com/
BMW of Bloomington,U.S,IL,34909,(309) 661-2691,1604 Commerce Pkwy,Bloomington,61704,40.45729997737744, -88.97452255731298,https://www.bmwofbloomington.com/
Lou Bachrodt BMW,U.S,IL,20415,(815) 332-4700,7070 Cherryvale N Blvd,Rockford,61112,42.25075431111122, -88.97911700325224,https://www.bachrodtbmw.com/
BMW of Barrington,U.S,IL,62900,(847) 381-8900,1475 S Barrington Rd,Barrington,60010,42.128829197360446, -88.13485168236866,https://www.bmwofbarrington.com/
BMW of Schererville,U.S,IN,34883,(219) 864-7333,1400 US-41,Schererville,46375,41.49585924640185, -87.47304751678283,https://www.bmwofschererville.com/
D-Patrick Motoplex,U.S,IN,36639,(812) 473-6590,200 N Green River Rd,Evansville,47715,37.97845268001841, -87.49334903414083,https://www.dpat.com/
BMW of Fort Wayne,U.S,IN,46288,(866) 938-0974,14 Magnavox Way,Fort Wayne,46804,41.07795888572591, -85.22603461680325,https://www.bmwoffortwayne.com/
Basney BMW,U.S,IN,46389,(574) 272-8504,52203 Indiana State Route 933,South Bend,46637,41.73475307727731, -86.25103963026433,https://www.basneybmw.com/
BMW of Lafayette,U.S,IN,56843,(765) 449-2800,320 Sagamore Pkwy S,Lafayette,47905,40.373600,-86.833900,https://www.bmwoflafayette.com/
Dreyer & Reinbold, Inc.,U.S,IN,27600,(317) 573-0222,96th St & Keystone Ave,Indianapolis,39.92302463217601, -86.11376080336557,https://www.dreyerreinboldbmwnorth.com/
BMW of Topeka,U.S,KS,41274,(785) 266-8480,3030 S Kansas Ave,Topeka,66611,39.01312999837535, -95.68125035738137,https://www.bmwtopeka.com/
BMW of Wichita,U.S,KS,44503,(316) 779-2613,11000 E 13th St N,Wichita,67206,37.709364492463145, -97.20954354579716,https://www.bmwofwichita.com/
Baron BMW,U.S,KS,31015,(913) 722-5100,9010 Shawnee Mission Pkwy,Merriam,66202,39.01628996898453, -94.69161815340829,https://www.baronbmw.com/
BMW of Bowling Green,U.S,KY,50229,(270) 745-0001,325 Three Springs Rd,Bowling Green,42104,36.937147511252014, -86.42113794768098,https://www.bmwofbowlinggreen.com/
BMW of Louisville,U.S,KY,43381,(502) 499-5080,4 Autocenter Dr,Louisville,40299,38.21245698944528, -85.53960591693865,https://www.bmwloiusville.com/
Bluegrass BMW,U.S,KY,32923,(270) 444-0660,3300 Park Ave,Paducah,42001,37.08430476334768, -88.65063444397624,https://www.bluegrassbmw.com/
Don Jacobs BMW,U.S,KY,86627,(859) 276-3546,2689 Nicholasville Rd,Lexington,40503,37.99836491930177, -84.52267066112641,https://www.donjacobsbmw.com/
Walker BMW,U.S,LA,46550,(318) 445-6678,6655 Coliseum Blvd,Alexandria,71303,31.294709122197734, -92.5169350651835,https://www.walkerbmw.com/
Orr BMW of Shreveport,U.S,LA,43764,(318) 629-1269,7560 E Kings Hwy,Shreveport,71105,32.44098168306356, -93.70934180369258,https://www.orrbmw.com/
Brian Harris BMW,U.S,LA,76504,(225) 754-1200,12336 Airline Hwy,Baton Rouge,70817,30.386603961063294, -91.04437074979893,https://www.brianharrisautogroup.com/bmw
Peake BMW,U.S,LA,20721,(504) 469-6165,2630 Veterans Blvd,Kenner,70062,30.00665299154554, -90.23100884611485,https://www.peakebmw.com/
BMW of Lafayette,U.S,LA,46753,(337) 769-2600,1401 Surrey St,Lafayette,70501,30.155480450219216, -92.0915601902873,https://www.mossbmw.com/
BMW of Rockland,U.S,MA,51008,(781) 982-4556,1040 Hingham St,Rockland,02370,42.16758042478267, -70.89908510140731,https://www.southshorebmw.com/
BMW of Cape Cod,U.S,MA,36635,(888) 306-0995,500 Yarmouth Rd,Hyannis,02601,41.666192781621426, -70.27083719773393,https://www.bmwofcapecod.com/
BMW of Lenox,MA,U.S,50201,(413) 443-4702,374 Pittsfield Rd, Lenox, 01240,42.397227341176915, -73.26917046276532,https://www.bmwlenox.com/?utm_source=google&utm_medium=organic&utm_campaign=berkshire-bmw-pittsfield-sales
BMW of West Springfield,U.S,MA,32111,(413) 301-9053,1712 Riverdale St,West Springfield,01089,42.150236627206695, -72.63221195538117,https://www.bmwofwestspringfield.com/
Herb Chambers BMW,U.S,MA,34400,(617) 731-1700,1186 Commonwealth Ave,Boston,02134,42.35037780062538, -71.12794119954908,https://www.herbchambersbmw.com/
